MOL_FORMULA	NUM_REPEATS	EXACT_MASS	NUM_CARBONS	ISOTOPE_2	ISOTOPE_3	ISOTOPE_4	ISOTOPE_5	ISOTOPE_6
C6H10S	2	114.05032132	6	0.06489436975639337	0.04519119351100811	0.0029326540214360854		
C3H6N4O	3	114.05416081199999	3	0.03244718487819671	0.0020549936345319116			
C6H10O2	44	114.06807956	6	0.0648943697563934	0.004109987269063825			
C5H10N2O	13	114.07931294	5	0.054078641463661176	0.0020549936345319133			
C7H14O	28	114.104465068	7	0.07571009804912562	0.0024565795485463793			
C6H14N2	14	114.11569844799999	6	0.06489436975639337	0.0017546996775331277			
C8H18	17	114.14085057599999	8	0.08652582634185786	0.0032754393980618385			
C4H5NOS	3	115.00918478	4	0.043262913170928945	0.04519119351100812	0.001955102680957391		
C3H5N3S	3	115.02041815999999	3	0.03244718487819669	0.045191193511008115	0.001466327010718044		
C4H5NO3	3	115.02694301999999	4	0.04326291317092896	0.006164980903595737			
C5H9NS	6	115.045570288	5	0.054078641463661176	0.04519119351100811	0.0024438783511967384		
C5H9NO2	19	115.063328528	5	0.054078641463661176	0.004109987269063825			
C6H13NO	22	115.099714036	6	0.0648943697563934	0.0020549936345319124			
C5H13N3	2	115.11094741599999	5	0.05407864146366117	0.0011697997850220851			
C7H17N	9	115.13609954399999	7	0.07571009804912562	0.0024565795485463793			
C4H4S2	2	115.975442128	4	0.04326291317092894	0.09038238702201623	0.003910205361914783	0.002042243970949382	
C4H4O4	4	116.010958608	4	0.04326291317092893	0.00821997453812765			
C2H4N4S	7	116.01566712799999	2	0.021631456585464472	0.04519119351100813			
C5H8OS	4	116.029585876	5	0.054078641463661176	0.0451911935110081	0.0024438783511967384		
C2H4N4O2	2	116.033425368	2	0.021631456585464472	0.004109987269063824			
C4H8N2S	5	116.04081925599999	4	0.043262913170928924	0.045191193511008115	0.0019551026809573905		
C5H8O3	14	116.04734411599999	5	0.05407864146366115	0.006164980903595736			
C4H8N2O2	8	116.058577496	4	0.043262913170928945	0.004109987269063826			
C6H12S	4	116.065971384	6	0.06489436975639344	0.045191193511008115	0.0029326540214360867		
C5H10NO2	2	116.07115356	5	0.054078641463661155	0.004109987269063823			
C6H12O2	39	116.083729624	6	0.06489436975639337	0.004109987269063825			
C5H12N2O	10	116.094963004	5	0.05407864146366118	0.0020549936345319133			
[C6H14NO]+	2	116.107539068	6	0.0648943697563934	0.002054993634531912			
C7H16O	17	116.120115132	7	0.07571009804912562	0.002456579548546379			
C6H16N2	7	116.131348512	6	0.06489436975639341	0.0017546996775331283			
C3H3NO2S	2	116.988449336	3	0.0324471848781967	0.045191193511008115	0.0014663270107180433		
C4H7NOS	2	117.024834844	4	0.04326291317092896	0.04519119351100811	0.001955102680957391		
C4H7NO3	6	117.04259308399999	4	0.043262913170928924	0.006164980903595738			
C3H7N3O2	4	117.053826464	3	0.03244718487819671	0.0041099872690638275			
C8H7N	4	117.057849224	8	0.08652582634185786	0.0032754393980618385			
C5H11NS	3	117.06122035199999	5	0.054078641463661176	0.04519119351100814	0.002443878351196741		
C5H11NO2	31	117.078978592	5	0.05407864146366116	0.004109987269063825			
C4H11N3O	3	117.090211972	4	0.04326291317092894	0.002054993634531912			
C6H15NO	11	117.1153641	6	0.0648943697563934	0.0020549936345319116			
C4H6O2S	2	118.008850432	4	0.043262913170928945	0.04519119351100811	0.0019551026809573914		
C4H6O4	7	118.026608672	4	0.04326291317092894	0.008219974538127645			
C3H6N2O3	4	118.03784205199999	3	0.03244718487819671	0.006164980903595738			
C8H6O	4	118.041864812	8	0.08652582634185786	0.003275439398061839			
C5H10OS	16	118.04523594	5	0.05407864146366117	0.0451911935110081	0.002443878351196739		
C7H6N2	12	118.053098192	7	0.07571009804912562	0.0024565795485463793			
C4H10N2S	6	118.05646931999999	4	0.04326291317092896	0.04519119351100809	0.0019551026809573905		
C5H10O3	22	118.06299417999999	5	0.054078641463661176	0.006164980903595739			
C4H10N2O2	14	118.07422756	4	0.043262913170928945	0.004109987269063826			
C9H10	4	118.07825032	9	0.09734155463459011	0.004211279226079508			
C6H14S	3	118.08162144799999	6	0.06489436975639344	0.04519119351100811	0.0029326540214360862		
C6H14O2	13	118.099379688	6	0.0648943697563934	0.004109987269063824			
C5H14N2O	2	118.110613068	5	0.05407864146366119	0.0020549936345319124			
C3H5NO4	4	119.02185764	3	0.03244718487819671	0.00821997453812765			
C7H5NO	5	119.03711378	7	0.07571009804912565	0.002456579548546379			
C4H9NOS	3	119.040484908	4	0.043262913170928924	0.0451911935110081	0.001955102680957391		
C6H5N3	10	119.04834715999999	6	0.06489436975639341	0.0017546996775331277			
C3H9N3S	4	119.05171828799999	3	0.03244718487819669	0.045191193511008115	0.0014663270107180433		
C4H9NO3	16	119.05824314799999	4	0.04326291317092891	0.006164980903595739			
C8H9N	2	119.073499288	8	0.08652582634185788	0.0032754393980618385			
C5H13NS	2	119.07687041599999	5	0.054078641463661155	0.04519119351100811	0.002443878351196738		
C5H13NO2	7	119.094628656	5	0.05407864146366118	0.004109987269063824			
C3H4O3S	2	119.98811498799999	3	0.03244718487819669	0.04519119351100811	0.0014663270107180427		
C4H8S2	8	120.006742256	4	0.043262913170928924	0.09038238702201622	0.003910205361914781	0.0020422439709493812	
C4H8O2S	8	120.024500496	4	0.043262913170928945	0.04519119351100812	0.001955102680957391		
C6H4N2O	7	120.032362748	6	0.06489436975639341	0.0020549936345319124			
C3H8N2OS	3	120.035733876	3	0.03244718487819673	0.0451911935110081	0.001466327010718044		
C4H8O4	13	120.042258736	4	0.04326291317092894	0.008219974538127651			
C5H4N4	5	120.04359612799999	5	0.054078641463661176	0.0011697997850220855			
C8H8O	12	120.057514876	8	0.08652582634185785	0.003275439398061839			
C5H12OS	5	120.060886004	5	0.05407864146366117	0.04519119351100811	0.0024438783511967392		
C7H8N2	8	120.06874825599999	7	0.07571009804912565	0.0024565795485463793			
C5H12O3	3	120.07864424399999	5	0.05407864146366117	0.006164980903595737			
C9H12	8	120.093900384	9	0.09734155463459011	0.004211279226079508			
C3H7NO2S	4	121.019749464	3	0.0324471848781967	0.04519119351100811	0.0014663270107180431		
C5H3N3O	3	121.027611716	5	0.05407864146366117	0.0020549936345319124			
C4H3N5	2	121.038845096	4	0.04326291317092896				
C7H7NO	8	121.052763844	7	0.07571009804912562	0.0024565795485463806			
C6H7N3	5	121.06399722399999	6	0.06489436975639343	0.001754699677533128			
C8H11N	26	121.08914935199999	8	0.08652582634185786	0.003275439398061838			
C2H2O6	2	121.98513778399999	2	0.02163145658546447	0.012329961807191474			
C3H6O3S	4	122.00376505199999	3	0.03244718487819671	0.04519119351100811	0.0014663270107180433		
