MOL_FORMULA	NUM_REPEATS	EXACT_MASS	NUM_CARBONS	ISOTOPE_2	ISOTOPE_3	ISOTOPE_4	ISOTOPE_5	ISOTOPE_6
CHNS	2	58.982970032	1	0.010815728292732233	0.3199577613516368	0.0034605762119301656	0.014459273108590767	
C2H5NO	4	59.03711378	2	0.021631456585464472	0.31995776135163656	0.00692115242386033		
CH5N3	2	59.04834716	1	0.01095989401421173	0.31995776135163667	0.003506703153438388		
C3H9N	4	59.073499288	3	0.03244718487819671	0.3199577613516368	0.010381728635790498		
C2H4O2	5	60.021129368	2	0.021631456585464462	0.3199577613516366	0.0069211524238603295	0.0013150223257933883	
CH4N2O	5	60.032362748	1	0.010815728292732234	0.31995776135163667	0.003460576211930165		
C3H8O	3	60.057514876	3	0.032447184878196714	0.31995776135163667	0.010381728635790498		
C2H8N2	4	60.06874825599999	2	0.021631456585464465	0.3199577613516365	0.00692115242386033		
CH3NO2	2	61.016378335999995	1	0.010815728292732234	0.3199577613516367	0.003460576211930166	0.001315022325793388	
C2H7NO	3	61.052763844	2	0.021631456585464465	0.3199577613516368	0.006921152423860329		
CH2O3	3	62.000393923999994	1	0.010815728292732234	0.3199577613516367	0.003460576211930165	0.0019725334886900826	
C2H6S	2	62.019021192	2	0.021631456585464472	0.3199577613516367	0.006921152423860332	0.014459273108590765	
C2H6O2	6	62.036779431999996	2	0.021631456585464465	0.3199577613516369	0.006921152423860333	0.0013150223257933887	
C4H5N	4	67.04219916	4	0.043262913170928945	0.3199577613516366	0.013842304847720664		
C4H4O	2	68.026214748	4	0.04326291317092894	0.3199577613516366	0.013842304847720654		
C3H4N2	2	68.037448128	3	0.0324471848781967	0.31995776135163667	0.010381728635790496		
C5H8	4	68.062600256	5	0.05407864146366118	0.3199577613516367	0.01730288105965083		
C3H3NO	3	69.021463716	3	0.0324471848781967	0.31995776135163656	0.010381728635790488		
C2H3N3	2	69.03269709599999	2	0.021631456585464462	0.3199577613516368	0.006921152423860329		
C4H7N	4	69.057849224	4	0.04326291317092894	0.3199577613516367	0.013842304847720654		
C2H2N2O	3	70.016712684	2	0.021631456585464472	0.31995776135163684	0.006921152423860335		
C4H6O	10	70.041864812	4	0.04326291317092893	0.31995776135163667	0.013842304847720662		
C3H6N2	3	70.053098192	3	0.0324471848781967	0.3199577613516367	0.010381728635790496		
C5H10	4	70.07825032	5	0.05407864146366118	0.31995776135163667	0.017302881059650825		
C3H5NO	6	71.03711378	3	0.0324471848781967	0.31995776135163656	0.010381728635790493		
C4H9N	2	71.073499288	4	0.043262913170928924	0.3199577613516366	0.013842304847720659		
C5H11	2	71.086075352	5	0.05407864146366115	0.31995776135163645	0.017302881059650818		
C3H4O2	5	72.021129368	3	0.03244718487819671	0.3199577613516367	0.010381728635790498	0.0013150223257933883	
CH4N4	2	72.04359612799999	1	0.014613192018948975	0.3199577613516368	0.0046756042045845185		
C4H8O	9	72.057514876	4	0.04326291317092893	0.3199577613516366	0.013842304847720652		
C3H8N2	3	72.06874825599999	3	0.03244718487819669	0.31995776135163656	0.010381728635790495		
C5H12	3	72.093900384	5	0.054078641463661176	0.31995776135163667	0.01730288105965083		
C2H3NS	2	72.998620096	2	0.021631456585464472	0.31995776135163667	0.0069211524238603295	0.014459273108590767	
C3H7NO	11	73.052763844	3	0.03244718487819669	0.3199577613516365	0.010381728635790495		
C2H7N3	2	73.06399722399999	2	0.02163145658546446	0.31995776135163667	0.006921152423860327		
C4H11N	5	73.089149352	4	0.04326291317092893	0.31995776135163656	0.013842304847720656		
C2H2O3	2	74.000393924	2	0.02163145658546447	0.3199577613516366	0.006921152423860331	0.001972533488690082	
C3H6S	3	74.019021192	3	0.03244718487819671	0.3199577613516367	0.010381728635790498	0.014459273108590765	
C3H6O2	12	74.036779432	3	0.0324471848781967	0.31995776135163667	0.010381728635790495	0.0013150223257933883	
C2H6N2O	8	74.048012812	2	0.021631456585464472	0.31995776135163667	0.006921152423860331		
C4H10O	5	74.07316494	4	0.043262913170928945	0.31995776135163667	0.013842304847720656		
C3H10N2	3	74.08439831999999	3	0.03244718487819667	0.31995776135163634	0.010381728635790486		
C2H5NS	2	75.01427016	2	0.021631456585464472	0.31995776135163667	0.00692115242386033	0.014459273108590767	
C2H5NO2	8	75.0320284	2	0.02163145658546447	0.3199577613516367	0.006921152423860332	0.001315022325793389	
CH5N3O	2	75.04326178	1	0.010959894014211732	0.3199577613516369	0.00350670315343839		
C3H9NO	6	75.068413908	3	0.03244718487819671	0.3199577613516366	0.010381728635790495		
C2H4OS	2	75.998285748	2	0.021631456585464465	0.3199577613516366	0.0069211524238603295	0.014459273108590763	
CH4N2S	2	76.009519128	1	0.010815728292732236	0.3199577613516368	0.0034605762119301665	0.01445927310859077	
C2H4O3	4	76.01604398799999	2	0.02163145658546448	0.3199577613516368	0.006921152423860333	0.001972533488690083	
CH4N2O2	3	76.027277368	1	0.01081572829273224	0.3199577613516369	0.003460576211930167	0.0013150223257933891	
C3H8S	3	76.034671256	3	0.03244718487819669	0.31995776135163667	0.010381728635790495	0.014459273108590763	
C3H8O2	6	76.052429496	3	0.03244718487819671	0.3199577613516367	0.010381728635790493	0.001315022325793388	
C2H6OS	4	78.013935812	2	0.02163145658546446	0.3199577613516366	0.0069211524238603295	0.014459273108590761	
C5H4N	2	78.034374128	5	0.05407864146366115	0.3199577613516364	0.017302881059650818		
CH5O2P	2	80.00271602999999	1	0.010815728292732231	0.31995776135163667	0.003460576211930165	0.0013150223257933878	
C4H4N2	5	80.037448128	4	0.04326291317092894	0.31995776135163667	0.013842304847720664		
C5H7N	6	81.057849224	5	0.05407864146366117	0.3199577613516366	0.01730288105965083		
H2O3S	2	81.972464924	0	0.008005899083535236	0.31995776135163667	0.0025615495483750543	0.014459273108590768	
H3O3P	2	81.98198058599999	0	0.0011427769479836001	0.31995776135163667	0.001972533488690082		
C3H2N2O	2	82.016712684	3	0.0324471848781967	0.3199577613516367	0.010381728635790495		
C5H6O	4	82.041864812	5	0.05407864146366117	0.3199577613516366	0.017302881059650825		
C4H6N2	7	82.053098192	4	0.04326291317092893	0.3199577613516366	0.013842304847720657		
C6H10	3	82.07825032	6	0.0648943697563934	0.31995776135163656	0.02076345727158099		
C3H5N3	2	83.04834715999999	3	0.03244718487819671	0.3199577613516366	0.010381728635790496		
C5H9N	9	83.073499288	5	0.054078641463661176	0.31995776135163667	0.017302881059650825		
C4H4O2	6	84.021129368	4	0.043262913170928924	0.31995776135163656	0.01384230484772066	0.001315022325793388	
C3H4N2O	4	84.032362748	3	0.032447184878196714	0.3199577613516369	0.0103817286357905		
C2H4N4	4	84.04359612799999	2	0.021631456585464465	0.3199577613516366	0.0069211524238603295		
C5H8O	13	84.057514876	5	0.054078641463661176	0.31995776135163656	0.017302881059650825		
C4H8N2	3	84.06874825599999	4	0.04326291317092896	0.31995776135163667	0.013842304847720664		
C6H12	5	84.093900384	6	0.0648943697563934	0.3199577613516367	0.020763457271580996		
C3H3NS	2	84.998620096	3	0.0324471848781967	0.31995776135163656	0.010381728635790493	0.014459273108590768	
C4H7NO	6	85.052763844	4	0.04326291317092894	0.3199577613516365	0.013842304847720656		
C5H11N	3	85.08914935199999	5	0.05407864146366117	0.31995776135163667	0.01730288105965083		
C2H2N2S	2	85.993869064	2	0.021631456585464472	0.3199577613516367	0.006921152423860332	0.01445927310859077	
C2H2N2O2	2	86.011627304	2	0.021631456585464462	0.3199577613516366	0.00692115242386033	0.0013150223257933885	
C4H6S	2	86.019021192	4	0.04326291317092894	0.3199577613516368	0.013842304847720666	0.014459273108590765	
C4H6O2	17	86.036779432	4	0.04326291317092894	0.31995776135163667	0.013842304847720664	0.0013150223257933891	
C3H6N2O	4	86.048012812	3	0.03244718487819671	0.3199577613516368	0.010381728635790491		
C5H10O	25	86.07316494	5	0.05407864146366115	0.3199577613516365	0.017302881059650818		
C4H10N2	3	86.08439831999999	4	0.04326291317092894	0.3199577613516366	0.013842304847720659		
C6H14	5	86.109550448	6	0.06489436975639339	0.3199577613516365	0.02076345727158099		
C3H5NS	3	87.01427016	3	0.0324471848781967	0.3199577613516366	0.010381728635790495	0.014459273108590763	
C3H5NO2	8	87.0320284	3	0.03244718487819671	0.31995776135163684	0.010381728635790498	0.001315022325793389	
C4H9NO	7	87.068413908	4	0.04326291317092893	0.3199577613516366	0.013842304847720659		
C5H13N	3	87.10479941599999	5	0.054078641463661155	0.31995776135163656	0.01730288105965082		
C3H4O3	5	88.01604398799999	3	0.0324471848781967	0.31995776135163667	0.010381728635790496	0.0019725334886900826	
C4H8S	5	88.034671256	4	0.04326291317092892	0.31995776135163667	0.013842304847720654	0.014459273108590763	
C4H8O2	14	88.052429496	4	0.04326291317092893	0.3199577613516366	0.013842304847720659	0.001315022325793388	
C3H8N2O	4	88.063662876	3	0.0324471848781967	0.3199577613516366	0.010381728635790495		
C5H12O	12	88.088815004	5	0.054078641463661155	0.3199577613516366	0.017302881059650825		
C4H12N2	5	88.10004838399999	4	0.043262913170928945	0.31995776135163667	0.013842304847720662		
